Time,Channel A,Channel B
(ms),(V),(V)

-344.52115156,6.26972200,0.35706660
-344.51091156,6.19037400,0.35706660
-344.50067156,6.19037400,0.35706660
-344.49043156,6.11102600,0.35706660
-344.48019156,6.11102600,0.39674060
-344.46995156,6.11102600,0.31739250
-344.45971156,6.11102600,0.35706660
-344.44947156,6.03167800,0.35706660
-344.43923156,6.03167800,0.35706660
-344.42899156,6.03167800,0.35706660
-344.41875156,5.95233000,0.35706660
-344.40851156,5.95233000,0.39674060
-344.39827156,5.95233000,0.35706660
-344.38803156,5.87298200,0.31739250
-344.37779156,5.79363400,0.35706660
-344.36755156,5.79363400,0.39674060
-344.35731156,5.71428600,0.35706660
-344.34707156,5.71428600,0.35706660
-344.33683156,5.63463300,0.35706660
-344.32659156,5.63463300,0.35706660
-344.31635156,5.55528500,0.35706660
-344.30611156,5.55528500,0.39674060
-344.29587156,5.47593600,0.35706660
-344.28563156,5.47593600,0.35706660
-344.27539156,5.47593600,0.35706660
-344.26515156,5.39658800,0.35706660
-344.25491156,5.39658800,0.35706660
-344.24467156,5.39658800,0.35706660
-344.23443156,5.31724000,0.35706660
-344.22419156,5.31724000,0.35706660
-344.21395156,5.23789200,0.35706660
-344.20371156,5.15854400,0.35706660
-344.19347156,5.15854400,0.35706660
-344.18323156,5.15854400,0.35706660
-344.17299156,5.07919500,0.35706660
-344.16275156,5.07919500,0.35706660
-344.15251156,4.99984700,0.35706660
-344.14227157,4.99984700,0.35706660
-344.13203157,4.92049900,0.35706660
-344.12179157,4.92049900,0.35706660
-344.11155157,4.84115100,0.39674060
-344.10131157,4.84115100,0.35706660
-344.09107157,4.84115100,0.35706660
-344.08083157,4.76180300,0.35706660
-344.07059157,4.68245500,0.39674060
-344.06035157,4.68245500,0.35706660
-344.05011157,4.60310700,0.39674060
-344.03987157,4.60310700,0.35706660
-344.02963157,4.52375900,0.35706660
-344.01939157,4.52375900,0.39674060
-344.00915157,4.52375900,0.35706660
-343.99891157,4.44441000,0.35706660
-343.98867157,4.44441000,0.35706660
-343.97843157,4.36506200,0.35706660
-343.96819157,4.36506200,0.35706660
-343.95795157,4.36506200,0.35706660
-343.94771157,4.28571400,0.35706660
-343.93747157,4.28571400,0.35706660
-343.92723157,4.28571400,0.35706660
-343.91699157,4.20606100,0.35706660
-343.90675157,4.20606100,0.35706660
-343.89651157,4.20606100,0.35706660
-343.88627157,4.12671300,0.35706660
-343.87603157,4.12671300,0.35706660
-343.86579157,4.12671300,0.35706660
-343.85555157,4.04736500,0.35706660
-343.84531157,4.04736500,0.35706660
-343.83507157,4.04736500,0.35706660
-343.82483157,4.04736500,0.35706660
-343.81459157,4.04736500,0.35706660
-343.80435157,4.04736500,0.39674060
-343.79411157,3.96801700,0.35706660
-343.78387157,3.96801700,0.35706660
-343.77363157,3.96801700,0.31739250
-343.76339157,3.88866900,0.35706660
-343.75315157,3.88866900,0.35706660
-343.74291157,3.88866900,0.35706660
-343.73267157,3.88866900,0.35706660
-343.72243157,3.88866900,0.35706660
-343.71219157,3.88866900,0.35706660
-343.70195157,3.88866900,0.35706660
-343.69171157,3.96801700,0.35706660
-343.68147157,3.96801700,0.39674060
-343.67123157,3.88866900,0.35706660
-343.66099157,3.88866900,0.35706660
-343.65075157,3.96801700,0.35706660
-343.64051157,3.88866900,0.35706660
-343.63027157,3.96801700,0.35706660
-343.62003157,3.96801700,0.35706660
-343.60979157,3.96801700,0.39674060
-343.59955157,3.96801700,0.35706660
-343.58931157,3.96801700,0.35706660
-343.57907157,3.96801700,0.35706660
-343.56883157,4.04736500,0.35706660
-343.55859157,4.04736500,0.35706660
-343.54835157,4.04736500,0.35706660
