Time,Channel A,Channel B
(ms),(mV),(V)

-485.72415278,4.76088700,-0.03967406
-485.68319278,-0.79348120,-0.05554369
-485.64223278,-7.14133100,-0.03967406
-485.60127278,-10.31526000,-0.04760887
-485.56031278,-5.55436900,-0.03967406
-485.51935278,0.00000000,-0.03967406
-485.47839278,4.76088700,-0.03967406
-485.43743278,8.72829300,-0.04760887
-485.39647278,7.93481200,-0.03967406
-485.35551278,3.96740600,-0.04760887
-485.31455278,-3.17392500,-0.04760887
-485.27359279,-9.52177400,-0.04760887
-485.23263279,-11.10874000,-0.03967406
-485.19167279,-5.55436900,-0.03967406
-485.15071279,2.38044400,-0.04760887
-485.10975279,5.55436900,-0.04760887
-485.06879279,8.72829300,-0.04760887
-485.02783279,6.34785000,-0.04760887
-484.98687279,1.58696200,-0.03967406
-484.94591279,-3.96740600,-0.03967406
-484.90495279,-10.31526000,-0.03967406
-484.86399279,-8.72829300,-0.03967406
-484.82303279,-1.58696200,-0.03967406
-484.78207279,3.17392500,-0.04760887
-484.74111279,7.93481200,-0.03967406
-484.70015279,8.72829300,-0.04760887
-484.65919279,4.76088700,-0.04760887
-484.61823279,-1.58696200,-0.04760887
-484.57727279,-6.34785000,-0.03967406
-484.53631279,-10.31526000,-0.04760887
-484.49535279,-4.76088700,-0.04760887
-484.45439279,-0.79348120,-0.04760887
-484.41343279,3.17392500,-0.03967406
-484.37247279,8.72829300,-0.03967406
-484.33151279,7.93481200,-0.03173925
-484.29055279,3.17392500,-0.04760887
-484.24959279,-1.58696200,-0.06347850
-484.20863279,-8.72829300,-0.03967406
-484.16767279,-8.72829300,-0.05554369
-484.12671279,-7.14133100,-0.05554369
-484.08575279,2.38044400,-0.05554369
-484.04479279,5.55436900,-0.04760887
-484.00383279,7.93481200,-0.05554369
-483.96287279,6.34785000,-0.05554369
-483.92191279,0.79348120,-0.04760887
-483.88095279,-3.96740600,-0.05554369
-483.83999279,-11.10874000,-0.03967406
-483.79903279,-9.52177400,-0.05554369
-483.75807279,-3.96740600,-0.04760887
-483.71711279,3.17392500,-0.04760887
-483.67615279,7.93481200,-0.05554369
-483.63519280,7.93481200,-0.03967406
-483.59423280,5.55436900,-0.05554369
-483.55327280,-2.38044400,-0.04760887
-483.51231280,-7.93481200,-0.06347850
-483.47135280,-11.10874000,-0.04760887
-483.43039280,-7.14133100,-0.05554369
-483.38943280,-0.79348120,-0.04760887
-483.34847280,4.76088700,-0.05554369
-483.30751280,7.93481200,-0.03967406
-483.26655280,5.55436900,-0.05554369
-483.22559280,2.38044400,-0.05554369
-483.18463280,-3.96740600,-0.04760887
-483.14367280,-9.52177400,-0.06347850
-483.10271280,-8.72829300,-0.05554369
-483.06175280,-3.96740600,-0.06347850
-483.02079280,3.17392500,-0.05554369
-482.97983280,6.34785000,-0.06347850
-482.93887280,7.93481200,-0.03967406
-482.89791280,4.76088700,-0.04760887
-482.85695280,1.58696200,-0.05554369
-482.81599280,-7.93481200,-0.06347850
-482.77503280,-10.31526000,-0.05554369
-482.73407280,-7.93481200,-0.04760887
-482.69311280,-2.38044400,-0.06347850
-482.65215280,4.76088700,-0.05554369
-482.61119280,8.72829300,-0.06347850
-482.57023280,8.72829300,-0.05554369
-482.52927280,2.38044400,-0.05554369
-482.48831280,-3.96740600,-0.05554369
-482.44735280,-8.72829300,-0.05554369
-482.40639280,-10.31526000,-0.05554369
-482.36543280,-5.55436900,-0.06347850
-482.32447280,1.58696200,-0.05554369
-482.28351280,7.93481200,-0.05554369
-482.24255280,7.14133100,-0.06347850
-482.20159280,5.55436900,-0.04760887
-482.16063280,1.58696200,-0.05554369
-482.11967280,-7.14133100,-0.05554369
-482.07871280,-11.10874000,-0.04760887
-482.03775280,-8.72829300,-0.05554369
-481.99679281,-0.79348120,-0.06347850
-481.95583281,5.55436900,-0.05554369
-481.91487281,8.72829300,-0.06347850
-481.87391281,8.72829300,-0.04760887
-481.83295281,3.96740600,-0.06347850
-481.79199281,-1.58696200,-0.04760887
-481.75103281,-10.31526000,-0.06347850
-481.71007281,-10.31526000,-0.06347850
-481.66911281,-3.96740600,-0.05554369
-481.62815281,3.17392500,-0.05554369
-481.58719281,7.93481200,-0.07141331
-481.54623281,6.34785000,-0.06347850
-481.50527281,5.55436900,-0.06347850
-481.46431281,0.00000000,-0.04760887
-481.42335281,-8.72829300,-0.06347850
-481.38239281,-11.10874000,-0.05554369
-481.34143281,-7.14133100,-0.06347850
-481.30047281,-0.79348120,-0.05554369
-481.25951281,5.55436900,-0.07141331
-481.21855281,7.93481200,-0.06347850
-481.17759281,6.34785000,-0.05554369
-481.13663281,2.38044400,-0.06347850
-481.09567281,-6.34785000,-0.05554369
-481.05471281,-9.52177400,-0.06347850
-481.01375281,-10.31526000,-0.06347850
-480.97279281,-3.17392500,-0.05554369
-480.93183281,3.96740600,-0.06347850
-480.89087281,7.14133100,-0.06347850
-480.84991281,7.93481200,-0.05554369
-480.80895281,5.55436900,-0.05554369
-480.76799281,0.00000000,-0.06347850
-480.72703281,-7.93481200,-0.06347850
-480.68607281,-9.52177400,-0.07141331
-480.64511281,-7.14133100,-0.06347850
-480.60415281,0.79348120,-0.05554369
-480.56319281,6.34785000,-0.06347850
-480.52223281,7.93481200,-0.06347850
-480.48127281,6.34785000,-0.06347850
-480.44031281,0.00000000,-0.07141331
-480.39935281,-5.55436900,-0.06347850
-480.35839282,-10.31526000,-0.06347850
-480.31743282,-7.93481200,-0.05554369
-480.27647282,-3.96740600,-0.05554369
-480.23551282,4.76088700,-0.07934812
-480.19455282,7.93481200,-0.06347850
-480.15359282,8.72829300,-0.07141331
-480.11263282,3.96740600,-0.06347850
-480.07167282,-3.96740600,-0.07141331
-480.03071282,-7.14133100,-0.06347850
-479.98975282,-9.52177400,-0.06347850
-479.94879282,-4.76088700,-0.07141331
-479.90783282,1.58696200,-0.06347850
-479.86687282,6.34785000,-0.07141331
-479.82591282,7.93481200,-0.07141331
-479.78495282,6.34785000,-0.07141331
-479.74399282,0.00000000,-0.07141331
-479.70303282,-7.14133100,-0.06347850
-479.66207282,-10.31526000,-0.06347850
-479.62111282,-8.72829300,-0.07141331
-479.58015282,-1.58696200,-0.07934812
-479.53919282,5.55436900,-0.07934812
-479.49823282,7.93481200,-0.07934812
-479.45727282,6.34785000,-0.07141331
-479.41631282,3.17392500,-0.07934812
-479.37535282,-4.76088700,-0.07934812
-479.33439282,-7.93481200,-0.07934812
-479.29343282,-8.72829300,-0.07141331
-479.25247282,-1.58696200,-0.07141331
-479.21151282,2.38044400,-0.07141331
-479.17055282,7.14133100,-0.07934812
-479.12959282,7.93481200,-0.07141331
-479.08863282,4.76088700,-0.07141331
-479.04767282,-0.79348120,-0.07934812
-479.00671282,-7.14133100,-0.07141331
-478.96575282,-10.31526000,-0.07141331
-478.92479282,-7.14133100,-0.07141331
-478.88383282,1.58696200,-0.07141331
-478.84287282,5.55436900,-0.07141331
-478.80191282,7.93481200,-0.07141331
-478.76095282,6.34785000,-0.07141331
-478.71999283,2.38044400,-0.07141331
-478.67903283,-3.96740600,-0.07141331
-478.63807283,-11.10874000,-0.08728294
-478.59711283,-8.72829300,-0.07934812
-478.55615283,-1.58696200,-0.07934812
-478.51519283,4.76088700,-0.07934812
-478.47423283,8.72829300,-0.07934812
-478.43327283,7.93481200,-0.07141331
-478.39231283,4.76088700,-0.07141331
-478.35135283,-1.58696200,-0.07934812
-478.31039283,-7.93481200,-0.08728294
-478.26943283,-13.48918000,-0.07934812
-478.22847283,-7.14133100,-0.07934812
-478.18751283,2.38044400,-0.07934812
-478.14655283,6.34785000,-0.05554369
-478.10559283,7.93481200,-0.08728294
-478.06463283,6.34785000,-0.06347850
-478.02367283,0.79348120,-0.08728294
-477.98271283,-7.14133100,-0.08728294
-477.94175283,-11.10874000,-0.07934812
-477.90079283,-8.72829300,-0.07141331
-477.85983283,-0.79348120,-0.07934812
-477.81887283,5.55436900,-0.07141331
-477.77791283,7.93481200,-0.07141331
-477.73695283,7.93481200,-0.07934812
-477.69599283,2.38044400,-0.07934812
-477.65503283,-3.96740600,-0.06347850
-477.61407283,-9.52177400,-0.09521775
-477.57311283,-9.52177400,-0.08728294
-477.53215283,-4.76088700,-0.08728294
-477.49119283,2.38044400,-0.07934812
-477.45023283,6.34785000,-0.08728294
-477.40927283,7.93481200,-0.07934812
-477.36831283,5.55436900,-0.07934812
-477.32735283,0.00000000,-0.07934812
-477.28639283,-6.34785000,-0.08728294
-477.24543283,-9.52177400,-0.07934812
-477.20447283,-7.14133100,-0.07934812
-477.16351283,-1.58696200,-0.06347850
-477.12255283,4.76088700,-0.08728294
-477.08159284,7.93481200,-0.07141331
-477.04063284,8.72829300,-0.07934812
-476.99967284,3.17392500,-0.09521775
-476.95871284,-2.38044400,-0.08728294
-476.91775284,-10.31526000,-0.08728294
-476.87679284,-10.31526000,-0.07934812
-476.83583284,-3.96740600,-0.07934812
-476.79487284,0.79348120,-0.07934812
-476.75391284,7.93481200,-0.07934812
-476.71295284,7.93481200,-0.08728294
-476.67199284,5.55436900,-0.08728294
-476.63103284,-0.79348120,-0.07934812
-476.59007284,-6.34785000,-0.07934812
-476.54911284,-11.10874000,-0.09521775
-476.50815284,-7.14133100,-0.07934812
-476.46719284,-1.58696200,-0.09521775
-476.42623284,4.76088700,-0.07934812
-476.38527284,7.93481200,-0.07934812
-476.34431284,7.93481200,-0.07934812
-476.30335284,2.38044400,-0.09521775
-476.26239284,-3.17392500,-0.08728294
-476.22143284,-8.72829300,-0.08728294
-476.18047284,-8.72829300,-0.08728294
-476.13951284,-4.76088700,-0.08728294
-476.09855284,1.58696200,-0.08728294
-476.05759284,6.34785000,-0.08728294
-476.01663284,8.72829300,-0.08728294
-475.97567284,6.34785000,-0.08728294
