Time,Channel A,Channel B
(s),(V),(mV)

9.71096058,3.65062400,345.22540000
9.71112442,4.60310700,353.16020000
9.71128826,5.39658800,345.22540000
9.71145210,5.71428600,337.29050000
9.71161594,5.31724000,365.07770000
9.71177978,4.52375900,357.14290000
9.71194362,3.49192800,349.19280000
9.71210746,2.85714300,341.25790000
9.71227130,2.77749000,349.19280000
9.71243514,3.25388300,345.22540000
9.71259898,4.20606100,353.16020000
9.71276282,5.07919500,353.16020000
9.71292666,5.63463300,353.16020000
9.71309050,5.63463300,341.25790000
9.71325434,5.07919500,333.32310000
9.71341818,4.20606100,345.22540000
9.71358202,3.33323200,349.19280000
9.71374586,2.77749000,345.22540000
9.71390970,2.77749000,361.11030000
9.71407354,3.33323200,373.01250000
9.71423738,4.20606100,345.22540000
9.71440122,4.99984700,345.22540000
9.71456506,5.55528500,353.16020000
9.71472890,5.63463300,349.19280000
9.71489274,5.31724000,349.19280000
9.71505658,4.44441000,349.19280000
9.71522042,3.57127600,349.19280000
9.71538426,2.93649100,357.14290000
9.71554810,2.69814100,369.04500000
9.71571194,3.01583900,357.14290000
9.71587578,3.72997200,349.19280000
9.71603962,4.60310700,361.11030000
9.71620346,5.31724000,353.16020000
9.71636730,5.71428600,353.16020000
9.71653114,5.47593600,357.14290000
9.71669498,4.92049900,353.16020000
9.71685882,4.04736500,357.14290000
9.71702266,3.25388300,349.19280000
9.71718650,2.77749000,357.14290000
9.71735034,2.77749000,349.19280000
9.71751418,3.33323200,365.07770000
9.71767802,4.12671300,365.07770000
9.71784186,4.99984700,345.22540000
9.71800570,5.55528500,361.11030000
9.71816954,5.63463300,357.14290000
9.71833338,5.15854400,357.14290000
9.71849722,4.36506200,357.14290000
9.71866106,3.49192800,357.14290000
9.71882490,2.85714300,357.14290000
9.71898874,2.77749000,353.16020000
9.71915258,3.17453500,349.19280000
9.71931642,3.96801700,357.14290000
9.71948026,4.84115100,365.07770000
9.71964410,5.47593600,353.16020000
9.71980794,5.71428600,345.22540000
9.71997178,5.39658800,349.19280000
9.72013562,4.76180300,345.22540000
9.72029946,3.88866900,361.11030000
9.72046330,3.17453500,349.19280000
9.72062714,2.77749000,353.16020000
9.72079098,2.77749000,353.16020000
9.72095482,3.41258000,357.14290000
9.72111866,4.20606100,349.19280000
9.72128250,4.99984700,365.07770000
9.72144634,5.55528500,349.19280000
9.72161018,5.71428600,365.07770000
9.72177402,5.39658800,349.19280000
9.72193786,4.76180300,361.11030000
9.72210170,4.04736500,361.11030000
9.72226554,3.25388300,353.16020000
9.72242938,2.85714300,361.11030000
9.72259322,2.69814100,369.04500000
9.72275706,3.09518700,361.11030000
9.72292090,3.80932000,365.07770000
9.72308474,4.52375900,357.14290000
9.72324858,5.15854400,349.19280000
9.72341242,5.55528500,357.14290000
9.72357626,5.63463300,353.16020000
9.72374010,5.31724000,373.01250000
9.72390394,4.76180300,361.11030000
9.72406778,3.96801700,369.04500000
9.72423162,3.25388300,369.04500000
9.72439546,2.85714300,365.07770000
9.72455930,2.77749000,353.16020000
9.72472314,3.09518700,369.04500000
9.72488698,3.72997200,361.11030000
9.72505082,4.44441000,365.07770000
9.72521466,5.07919500,357.14290000
9.72537850,5.55528500,373.01250000
9.72554234,5.63463300,365.07770000
9.72570618,5.39658800,357.14290000
9.72587002,4.76180300,337.29050000
9.72603386,4.04736500,353.16020000
9.72619770,3.33323200,361.11030000
9.72636154,2.85714300,349.19280000
9.72652538,2.77749000,369.04500000
9.72668922,3.09518700,380.94730000
9.72685306,3.72997200,369.04500000
9.72701690,4.44441000,361.11030000
9.72718074,5.15854400,361.11030000
9.72734458,5.55528500,357.14290000
9.72750842,5.63463300,357.14290000
9.72767226,5.31724000,365.07770000
9.72783610,4.68245500,357.14290000
9.72799994,3.96801700,373.01250000
9.72816378,3.25388300,361.11030000
9.72832762,2.85714300,357.14290000
9.72849146,2.77749000,361.11030000
9.72865530,3.01583900,369.04500000
9.72881914,3.65062400,369.04500000
9.72898298,4.44441000,365.07770000
9.72914682,5.07919500,353.16020000
9.72931066,5.55528500,369.04500000
9.72947450,5.71428600,369.04500000
9.72963834,5.47593600,369.04500000
9.72980218,4.92049900,365.07770000
9.72996602,4.28571400,349.19280000
9.73012986,3.65062400,376.97990000
9.73029370,3.09518700,361.11030000
9.73045754,2.77749000,369.04500000
9.73062138,2.85714300,365.07770000
9.73078522,3.17453500,365.07770000
9.73094906,3.72997200,365.07770000
9.73111290,4.36506200,369.04500000
9.73127674,4.99984700,365.07770000
9.73144058,5.39658800,373.01250000
9.73160442,5.63463300,369.04500000
9.73176826,5.47593600,369.04500000
9.73193210,5.15854400,373.01250000
9.73209594,4.60310700,361.11030000
9.73225978,3.88866900,373.01250000
9.73242362,3.25388300,349.19280000
9.73258746,2.85714300,365.07770000
9.73275130,2.77749000,361.11030000
9.73291514,3.01583900,373.01250000
9.73307898,3.57127600,353.16020000
9.73324282,4.20606100,349.19280000
9.73340666,4.84115100,357.14290000
9.73357050,5.31724000,361.11030000
9.73373434,5.63463300,361.11030000
9.73389818,5.55528500,373.01250000
9.73406202,5.15854400,361.11030000
9.73422586,4.60310700,373.01250000
9.73438970,3.96801700,373.01250000
9.73455354,3.33323200,365.07770000
9.73471738,2.93649100,369.04500000
9.73488122,2.77749000,376.97990000
9.73504506,2.93649100,369.04500000
9.73520890,3.41258000,361.11030000
9.73537274,4.04736500,380.94730000
9.73553658,4.68245500,353.16020000
9.73570042,5.23789200,369.04500000
9.73586426,5.55528500,373.01250000
9.73602810,5.63463300,373.01250000
9.73619194,5.31724000,369.04500000
9.73635578,4.84115100,361.11030000
9.73651962,4.28571400,365.07770000
9.73668346,3.65062400,369.04500000
9.73684730,3.17453500,365.07770000
9.73701114,2.85714300,365.07770000
9.73717498,2.77749000,376.97990000
9.73733882,3.01583900,369.04500000
9.73750266,3.41258000,369.04500000
9.73766650,3.88866900,369.04500000
9.73783034,4.52375900,376.97990000
9.73799418,4.99984700,365.07770000
9.73815802,5.39658800,376.97990000
9.73832186,5.63463300,361.11030000
9.73848570,5.63463300,376.97990000
9.73864954,5.39658800,376.97990000
9.73881338,4.99984700,369.04500000
9.73897722,4.52375900,373.01250000
9.73914106,4.04736500,369.04500000
9.73930490,3.49192800,376.97990000
9.73946874,3.09518700,380.94730000
9.73963258,2.85714300,365.07770000
9.73979642,2.77749000,373.01250000
9.73996026,2.93649100,373.01250000
9.74012410,3.25388300,365.07770000
9.74028794,3.65062400,357.14290000
9.74045178,4.20606100,373.01250000
9.74061562,4.76180300,373.01250000
9.74077946,5.15854400,369.04500000
9.74094330,5.47593600,384.91470000
9.74110714,5.63463300,365.07770000
9.74127098,5.55528500,376.97990000
9.74143482,5.23789200,373.01250000
9.74159866,4.84115100,373.01250000
9.74176250,4.28571400,376.97990000
9.74192634,3.72997200,384.91470000
9.74209018,3.25388300,373.01250000
9.74225402,2.93649100,373.01250000
9.74241786,2.77749000,369.04500000
9.74258170,2.93649100,361.11030000
9.74274554,3.17453500,369.04500000
9.74290938,3.65062400,376.97990000
9.74307322,4.12671300,380.94730000
9.74323706,4.68245500,373.01250000
9.74340090,5.15854400,373.01250000
9.74356474,5.39658800,369.04500000
9.74372858,5.55528500,361.11030000
9.74389242,5.55528500,373.01250000
9.74405626,5.23789200,369.04500000
9.74422010,4.84115100,369.04500000
9.74438394,4.36506200,380.94730000
9.74454778,3.88866900,373.01250000
9.74471162,3.33323200,376.97990000
9.74487546,3.01583900,380.94730000
9.74503930,2.77749000,365.07770000
9.74520314,2.77749000,369.04500000
9.74536698,3.01583900,376.97990000
9.74553082,3.33323200,376.97990000
9.74569466,3.80932000,365.07770000
9.74585850,4.20606100,376.97990000
9.74602234,4.68245500,384.91470000
9.74618618,5.07919500,380.94730000
9.74635002,5.39658800,369.04500000
9.74651386,5.55528500,369.04500000
9.74667770,5.63463300,384.91470000
9.74684154,5.47593600,376.97990000
9.74700538,5.23789200,380.94730000
9.74716922,4.92049900,373.01250000
9.74733306,4.44441000,380.94730000
9.74749690,3.96801700,373.01250000
9.74766074,3.57127600,384.91470000
9.74782458,3.17453500,373.01250000
9.74798842,2.85714300,384.91470000
9.74815226,2.77749000,357.14290000
9.74831610,2.85714300,361.11030000
9.74847994,3.01583900,380.94730000
9.74864378,3.33323200,388.88210000
9.74880762,3.80932000,373.01250000
9.74897146,4.28571400,376.97990000
9.74913530,4.68245500,380.94730000
9.74929914,5.15854400,380.94730000
9.74946298,5.39658800,373.01250000
9.74962682,5.55528500,369.04500000
9.74979066,5.63463300,376.97990000
9.74995450,5.39658800,376.97990000
9.75011834,5.15854400,365.07770000
9.75028218,4.84115100,380.94730000
9.75044602,4.28571400,369.04500000
9.75060986,3.88866900,369.04500000
9.75077370,3.41258000,373.01250000
9.75093754,3.09518700,376.97990000
9.75110138,2.85714300,376.97990000
9.75126522,2.77749000,380.94730000
9.75142906,2.93649100,376.97990000
9.75159290,3.17453500,380.94730000
9.75175674,3.41258000,376.97990000
9.75192058,3.80932000,373.01250000
9.75208442,4.28571400,373.01250000
9.75224826,4.68245500,384.91470000
9.75241210,5.07919500,376.97990000
9.75257594,5.31724000,384.91470000
9.75273978,5.55528500,388.88210000
9.75290362,5.63463300,376.97990000
9.75306746,5.55528500,373.01250000
9.75323130,5.47593600,392.84950000
9.75339514,5.15854400,365.07770000
9.75355898,4.84115100,384.91470000
9.75372282,4.52375900,376.97990000
9.75388666,4.04736500,373.01250000
9.75405050,3.65062400,369.04500000
9.75421434,3.41258000,373.01250000
9.75437818,3.09518700,373.01250000
9.75454202,2.93649100,373.01250000
9.75470586,2.77749000,376.97990000
9.75486970,2.77749000,376.97990000
9.75503354,2.85714300,380.94730000
9.75519738,3.01583900,380.94730000
9.75536122,3.17453500,380.94730000
9.75552506,3.49192800,380.94730000
9.75568890,3.80932000,376.97990000
9.75585274,4.12671300,376.97990000
9.75601658,4.44441000,369.04500000
9.75618042,4.84115100,373.01250000
9.75634426,5.07919500,373.01250000
9.75650810,5.31724000,384.91470000
9.75667194,5.47593600,384.91470000
9.75683578,5.63463300,373.01250000
9.75699962,5.63463300,376.97990000
9.75716346,5.63463300,384.91470000
9.75732730,5.39658800,384.91470000
9.75749114,5.15854400,373.01250000
9.75765498,4.92049900,376.97990000
9.75781882,4.60310700,384.91470000
9.75798266,4.20606100,376.97990000
9.75814650,3.88866900,380.94730000
9.75831034,3.49192800,384.91470000
9.75847418,3.25388300,384.91470000
9.75863802,3.01583900,376.97990000
9.75880186,2.77749000,380.94730000
9.75896570,2.77749000,384.91470000
9.75912954,2.85714300,388.88210000
9.75929338,2.93649100,380.94730000
9.75945722,3.09518700,376.97990000
9.75962106,3.41258000,380.94730000
9.75978490,3.65062400,384.91470000
9.75994874,4.04736500,376.97990000
9.76011258,4.36506200,380.94730000
9.76027642,4.68245500,384.91470000
9.76044026,4.92049900,380.94730000
9.76060410,5.15854400,380.94730000
9.76076794,5.39658800,380.94730000
9.76093178,5.55528500,380.94730000
9.76109562,5.63463300,384.91470000
9.76125946,5.55528500,380.94730000
9.76142330,5.55528500,384.91470000
9.76158714,5.39658800,380.94730000
9.76175098,5.31724000,392.84950000
9.76191482,5.15854400,373.01250000
9.76207866,4.84115100,376.97990000
9.76224250,4.60310700,392.84950000
9.76240634,4.28571400,380.94730000
9.76257018,4.04736500,380.94730000
9.76273402,3.80932000,380.94730000
9.76289786,3.49192800,376.97990000
9.76306170,3.25388300,373.01250000
9.76322554,3.09518700,384.91470000
9.76338938,2.93649100,384.91470000
9.76355322,2.85714300,373.01250000
9.76371706,2.77749000,392.84950000
9.76388090,2.77749000,380.94730000
9.76404474,2.77749000,384.91470000
9.76420858,2.93649100,369.04500000
9.76437242,3.09518700,376.97990000
9.76453626,3.25388300,380.94730000
9.76470010,3.41258000,373.01250000
9.76486394,3.80932000,380.94730000
9.76502778,4.04736500,384.91470000
9.76519162,4.36506200,376.97990000
9.76535546,4.52375900,380.94730000
9.76551930,4.84115100,380.94730000
9.76568314,4.99984700,384.91470000
9.76584698,5.31724000,373.01250000
9.76601082,5.47593600,369.04500000
9.76617466,5.55528500,376.97990000
9.76633850,5.63463300,384.91470000
9.76650234,5.63463300,384.91470000
9.76666618,5.55528500,376.97990000
9.76683002,5.39658800,388.88210000
9.76699386,5.31724000,388.88210000
9.76715770,5.15854400,369.04500000
9.76732154,4.92049900,380.94730000
9.76748538,4.60310700,380.94730000
9.76764922,4.28571400,376.97990000
9.76781306,4.04736500,376.97990000
9.76797690,3.80932000,373.01250000
9.76814074,3.57127600,376.97990000
9.76830458,3.33323200,384.91470000
9.76846842,3.09518700,380.94730000
9.76863226,3.01583900,373.01250000
9.76879610,2.85714300,384.91470000
9.76895994,2.85714300,392.84950000
9.76912378,2.77749000,376.97990000
9.76928762,2.77749000,373.01250000
9.76945146,2.77749000,380.94730000
9.76961530,2.77749000,384.91470000
9.76977914,2.85714300,376.97990000
9.76994298,2.93649100,373.01250000
9.77010682,3.09518700,384.91470000
9.77027066,3.25388300,384.91470000
9.77043450,3.41258000,388.88210000
9.77059834,3.57127600,376.97990000
9.77076218,3.72997200,380.94730000
9.77092602,3.80932000,384.91470000
9.77108986,3.96801700,388.88210000
9.77125370,4.12671300,376.97990000
9.77141754,4.28571400,373.01250000
9.77158138,4.44441000,388.88210000
9.77174522,4.60310700,373.01250000
9.77190906,4.76180300,384.91470000
9.77207290,4.92049900,373.01250000
9.77223674,4.99984700,380.94730000
9.77240058,5.15854400,384.91470000
9.77256442,5.23789200,373.01250000
9.77272826,5.31724000,373.01250000
9.77289210,5.39658800,384.91470000
9.77305594,5.47593600,376.97990000
9.77321978,5.55528500,380.94730000
9.77338362,5.55528500,388.88210000
9.77354746,5.63463300,384.91470000
9.77371130,5.63463300,373.01250000
9.77387514,5.63463300,369.04500000
9.77403898,5.55528500,392.84950000
9.77420282,5.55528500,388.88210000
9.77436666,5.47593600,373.01250000
9.77453050,5.39658800,380.94730000
9.77469434,5.31724000,384.91470000
9.77485818,5.15854400,376.97990000
9.77502202,5.15854400,380.94730000
9.77518586,5.07919500,373.01250000
9.77534970,4.92049900,380.94730000
9.77551354,4.76180300,384.91470000
9.77567738,4.68245500,373.01250000
9.77584122,4.44441000,376.97990000
9.77600506,4.36506200,380.94730000
9.77616890,4.20606100,380.94730000
9.77633274,4.12671300,369.04500000
9.77649658,4.04736500,380.94730000
9.77666042,3.88866900,373.01250000
9.77682426,3.72997200,376.97990000
9.77698810,3.65062400,376.97990000
9.77715194,3.49192800,388.88210000
9.77731578,3.41258000,396.81690000
9.77747962,3.33323200,384.91470000
9.77764346,3.25388300,384.91470000
9.77780730,3.09518700,376.97990000
9.77797114,3.09518700,380.94730000
9.77813498,3.01583900,392.84950000
9.77829882,2.93649100,384.91470000
9.77846266,2.93649100,388.88210000
9.77862650,2.85714300,384.91470000
9.77879034,2.77749000,380.94730000
9.77895418,2.85714300,388.88210000
9.77911802,2.77749000,365.07770000
9.77928186,2.77749000,384.91470000
9.77944570,2.69814100,384.91470000
9.77960954,2.69814100,376.97990000
9.77977338,2.69814100,376.97990000
9.77993722,2.69814100,384.91470000
9.78010106,2.69814100,384.91470000
9.78026490,2.69814100,392.84950000
9.78042874,2.77749000,384.91470000
9.78059258,2.85714300,376.97990000
9.78075642,2.85714300,384.91470000
